Price,Volume,Side
86742.317700,0.172580,offer
86748.485340,0.182594,offer
86748.495320,0.172568,offer
86751.409480,0.008772,offer
86751.419460,0.000000,offer
86751.559180,0.000000,offer
86752.447400,0.000000,offer
86752.457380,0.226206,offer
86753.844600,0.079645,offer
86759.832600,0.114814,offer
86761.968320,0.585867,offer
86761.978300,0.056519,offer
86762.187880,0.926976,offer
86772.796620,0.000000,offer
86776.040120,0.285093,offer
86777.756680,0.000000,offer
86777.876440,0.379077,offer
86781.060060,0.023632,offer
86782.018140,0.000000,offer
86783.275620,0.000166,offer
86792.557020,1.655504,offer
86794.503120,0.280534,offer
86798.724660,0.000000,offer
86824.083840,0.000000,offer
86829.722540,0.042488,offer
86840.261420,0.639837,offer
86841.429080,0.397619,offer
86844.063800,0.000000,offer
86845.530860,0.000000,offer
86733.535300,0.114746,bid
86728.315760,0.110858,bid
86725.182040,0.228326,bid
86725.172060,0.666689,bid
86725.162080,0.000000,bid
86724.024360,0.000000,bid
86717.048340,0.147105,bid
86715.411620,0.037362,bid
86712.687080,0.000017,bid
86750.740820,0.080000,offer
86731.219940,0.028767,bid
86729.553280,0.000000,bid
86729.523340,0.196168,bid
86729.513360,0.115070,bid
86728.315760,0.000000,bid
86715.411620,0.000000,bid
86708.365740,0.000000,bid
86681.808960,0.817653,bid
86680.531520,0.000000,bid
86679.433720,0.555101,bid
86679.224140,0.363350,bid
86679.214160,0.000000,bid
86678.156280,0.000000,bid
86646.759200,1.217801,bid
86645.481760,0.000000,bid
86258.706860,0.050000,bid
84266.469320,0.000000,bid
84208.964560,0.000000,bid
83705.553400,0.000000,bid
75898.808180,0.006541,bid
86742.307720,0.000000,offer
86742.317700,0.000000,offer
86744.862600,0.103545,offer
86744.872580,0.172575,offer
86748.485340,0.199430,offer
86748.495320,0.000000,offer
86750.371560,0.172564,offer
86750.730840,0.007389,offer
86750.740820,0.000000,offer
86751.409480,0.000000,offer
86777.866460,0.379077,offer
86777.876440,0.000000,offer
86840.241460,0.639837,offer
86840.261420,0.000000,offer
86841.419100,0.397619,offer
86841.429080,0.000000,offer
86733.645080,0.000119,bid
86733.635100,0.017258,bid
86733.625120,0.000000,bid
86733.615140,0.000000,bid
86733.605160,0.000000,bid
86731.768840,0.028767,bid
86731.219940,0.000000,bid
86729.523340,0.127126,bid
86729.513360,0.000000,bid
86681.818940,1.324908,bid
86662.417820,0.043761,bid
86656.110460,0.047787,bid
86650.591520,0.000000,bid
86605.122640,0.000000,bid
86605.112660,0.000000,bid
86744.862600,0.000000,offer
86744.872580,0.000000,offer
86748.285740,0.000000,offer
86748.485340,0.157532,offer
86750.371560,0.000000,offer
86750.730840,0.000000,offer
86751.419460,0.009132,offer
86752.028240,0.172561,offer
86765.431380,0.338457,offer
86767.607020,0.036295,offer
86790.022100,0.000000,offer
86792.547040,1.161623,offer
86794.503120,0.000000,offer
86797.497120,0.280524,offer
86861.957940,4.301463,offer
86733.685000,0.000000,bid
86733.675020,0.000000,bid
86733.665040,0.000000,bid
86733.655060,0.000000,bid
86733.645080,0.000000,bid
86733.635100,0.000000,bid
86733.605160,0.000119,bid
86731.768840,0.000000,bid
86723.495420,0.115078,bid
86682.327920,0.363337,bid
86679.224140,0.000000,bid
86249.565180,0.000000,bid
86741.499340,0.172768,offer
86748.455400,0.269832,offer
86748.465380,0.172568,offer
